episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -8447.613271906972, 4, 49.64036543400016, 2644, 50938,                                             50938, 1.2696105241775513, 0.8923888206481934
2, -858.9359229803085, 2, 22.494943074999355, 667, 51605,                                             51605, 3.536757230758667, 6.098272323608398
3, -573.4495661258698, 2, 20.782828226000674, 593, 52198,                                             52198, 3.517866611480713, 8.914592742919922
4, -207.28327932953835, 1, 13.3323743739993, 401, 52599,                                             52599, 3.4691646099090576, 11.114212989807129
5, -194.17492428421974, 2, 8.740126790999966, 282, 52881,                                             52881, 3.435694456100464, 12.60629940032959
6, -841.7654863297939, 2, 36.985127189000195, 1222, 54103,                                             54103, 3.452446460723877, 15.7477388381958
7, -1344.6176010370255, 4, 50.44681270399997, 1682, 55785,                                             55785, 3.389129161834717, 21.306610107421875
8, -1547.2323651909828, 4, 49.829979858000115, 1614, 57399,                                             57399, 3.3359923362731934, 27.149084091186523
9, -1304.9450094401836, 4, 49.848343838999426, 1653, 59052,                                             59052, 3.2995083332061768, 32.64216995239258
10, -1408.0193725675344, 4, 49.63906217400017, 1674, 60726,                                             60726, 3.2502384185791016, 37.915531158447266
11, -1466.7458822205663, 4, 49.61554564300059, 1640, 62366,                                             62366, 3.197556495666504, 42.88888168334961
12, -1232.3745845332742, 4, 49.827333404000456, 1584, 63950,                                             63950, 3.1489980220794678, 47.535125732421875
13, -1575.6229700744152, 4, 49.853169181999874, 1655, 65605,                                             65605, 3.125979423522949, 52.08064270019531
14, -1241.2498905062675, 4, 49.82691184600026, 1656, 67261,                                             67261, 3.07427978515625, 56.511383056640625
15, -1259.6545388251543, 4, 50.44061970800067, 1663, 68924,                                             68924, 3.072733163833618, 60.708518981933594
16, -1051.553338572383, 4, 49.81196873299996, 1523, 70447,                                             70447, 3.0766539573669434, 64.52851867675781
17, -1308.1069427877665, 4, 50.43661014400004, 1604, 72051,                                             72051, 3.0648560523986816, 68.15647888183594
18, -1227.1089446991682, 4, 50.01771293300044, 1616, 73667,                                             73667, 3.0723989009857178, 71.71472930908203
19, -1168.0145897120237, 4, 49.83991359300035, 1580, 75247,                                             75247, 3.088386058807373, 75.06724548339844
20, -1033.5222993791103, 4, 49.8166101679999, 1571, 76818,                                             76818, 3.1139414310455322, 78.22508239746094
21, -979.2142110094428, 4, 50.45241408400034, 1605, 78423,                                             78423, 3.138871192932129, 81.19097137451172
22, -1043.4817870780826, 4, 49.66680911200001, 1466, 79889,                                             79889, 3.1375160217285156, 83.97840118408203
23, -738.1381019428372, 1, 48.014888723000695, 1458, 81347,                                             81347, 3.175382614135742, 86.40365600585938
